Nama_Bahan,Satuan,Harga_Rata_Rata,Bulan,Tahun
Indomie Rasa Kari Ayam / bungkus,Bungkus,2292,Juli,2018
Cabe Merah Besar Keriting / kg,kg,27643,Juli,2018
Cabe Merah Besar,kg,25810,Juli,2018
Cabe Rawit / kg,kg,46878,Juli,2018
Bawang Merah,kg,21397,Juli,2018
Bawang Putih,kg,20695,Juli,2018
Ikan Asin Teri / kg,kg,64461,Juli,2018
Kacang Hijau / kg,kg,18178,Juli,2018
Kacang Tanah / kg,kg,22425,Juli,2018
Ketela Pohon / kg,kg,3613,Juli,2018
Kol/kubis (/kg),kg,6131,Juli,2018
Kentang / kg,kg,11667,Juli,2018
Tomat / kg,kg,8346,Juli,2018
Wortel / kg,kg,8376,Juli,2018
Buncis,kg,11284,Juli,2018
Daging Ayam Broiler,kg,32012,November,2020
Ikan Kembung / kg,kg,27836,Juli,2018
ikan Tuna / kg,kg,34989,Juli,2018
Ikan Tongkol / kg,kg,27501,Juli,2018
Ikan Cakalang / kg,kg,28659,Juli,2018
Beras Bengawan,kg,11281,Agustus,2018
Beras Mentik,kg,10963,Agustus,2018
Beras IR 64,kg,9379,Agustus,2018
Gula Pasir Dalam Negri / kg,kg,11030,Agustus,2018
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11726,Agustus,2018
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,26432,Agustus,2018
Minyak Goreng Curah / kg (liter),kg,10980,Agustus,2018
Daging Sapi Murni / kg,kg,108175,Agustus,2018
Daging Ayam Broiler,kg,33183,Desember,2020
Daging Ayam Broiler,kg,32690,Januari,2021
Telur Ayam Ras (Petelur) / kg,kg,21161,Agustus,2018
Daging Ayam Broiler,kg,31540,Februari,2021
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9949,Agustus,2018
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9677,Agustus,2018
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38315,Agustus,2018
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36135,Agustus,2018
Jagung Pipilan Kering / kg,kg,5888,Agustus,2018
Garam Beryodium Bata / buah,Buah,1187,Agustus,2018
Daging Ayam Broiler,kg,32104,Maret,2021
Tepung Terigu / kg,kg,7826,Agustus,2018
Kacang Kedelai Eks Impor / kg,kg,8331,Agustus,2018
Kacang Kedelai Lokal,kg,8656,Agustus,2018
Indomie Rasa Kari Ayam / bungkus,Bungkus,2311,Agustus,2018
Cabe Merah Besar Keriting / kg,kg,24170,Agustus,2018
Cabe Merah Besar,kg,20402,Agustus,2018
Cabe Rawit / kg,kg,27556,Agustus,2018
Bawang Merah,kg,18981,Agustus,2018
Bawang Putih,kg,20096,Agustus,2018
Ikan Asin Teri / kg,kg,64671,Agustus,2018
Kacang Hijau / kg,kg,18159,Agustus,2018
Kacang Tanah / kg,kg,22367,Agustus,2018
Ketela Pohon / kg,kg,3649,Agustus,2018
Kol/kubis (/kg),kg,5826,Agustus,2018
Kentang / kg,kg,11485,Agustus,2018
Tomat / kg,kg,7938,Agustus,2018
